"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24050","test_get_sing_button[chromium]","","Thu Sep 11 19:43:18 GMT 2025","passed","Thu Sep 11 19:43:42 GMT 2025","TestRegistration","test_1","",""
"","24340","test_get_open_result[chromium]","","Thu Sep 11 19:43:42 GMT 2025","passed","Thu Sep 11 19:44:06 GMT 2025","TestRegistration","test_1","",""
"","25939","Main page","","Thu Sep 11 19:42:52 GMT 2025","passed","Thu Sep 11 19:43:18 GMT 2025","TestRegistration","test_1","",""
"","24634","test_open_main_page[chromium]","","Thu Sep 11 19:44:06 GMT 2025","passed","Thu Sep 11 19:44:31 GMT 2025","TestRegistration","test_1","",""
