"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22493","Main page","","Fri Sep 12 16:03:45 GMT 2025","passed","Fri Sep 12 16:04:08 GMT 2025","TestRegistration","test_1","",""
"","24977","test_open_main_page[chromium]","","Fri Sep 12 16:04:51 GMT 2025","passed","Fri Sep 12 16:05:16 GMT 2025","TestRegistration","test_1","",""
"","24928","test_get_open_result[chromium]","","Fri Sep 12 16:04:26 GMT 2025","passed","Fri Sep 12 16:04:51 GMT 2025","TestRegistration","test_1","",""
"","16970","test_get_sing_button[chromium]","","Fri Sep 12 16:04:08 GMT 2025","passed","Fri Sep 12 16:04:25 GMT 2025","TestRegistration","test_1","",""
