"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30003","test_get_sing_button[chromium]","","Thu Sep 11 19:16:42 GMT 2025","broken","Thu Sep 11 19:17:12 GMT 2025","TestRegistration","test_1","",""
"","14969","Main page","","Thu Sep 11 19:16:27 GMT 2025","passed","Thu Sep 11 19:16:42 GMT 2025","TestRegistration","test_1","",""
"","14996","test_open_main_page[chromium]","","Thu Sep 11 19:17:41 GMT 2025","passed","Thu Sep 11 19:17:56 GMT 2025","TestRegistration","test_1","",""
"","29346","test_get_open_result[chromium]","","Thu Sep 11 19:17:12 GMT 2025","passed","Thu Sep 11 19:17:41 GMT 2025","TestRegistration","test_1","",""
